Time	wtime	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1772190344	0	26149	28960	0	641128	6593	0	88	0	0	0	0	0	0	0	1	1
1772190346	2	318284	321216	0	641128	6593	0	88	0	0	0	0	0	0	0	1	1
1772190348	4	318284	321216	0	641128	6593	0	88	0	86	1	0	0	0	0	1	1
1772190350	6	318284	321216	0	641128	6593	0	88	0	86	1	0	0	0	0	1	1
1772190352	8	318284	321216	0	641128	6593	0	88	0	86	1	0	0	0	0	1	1
1772190354	10	318284	321216	0	641128	6593	0	88	0	86	1	0	0	0	0	1	1
1772190356	12	318284	321216	0	641128	6593	0	88	0	297	2	0	0	0	0	1	1
1772190358	14	318284	321216	0	641128	6593	0	88	0	719	4	0	0	0	0	1	1
1772190360	16	318284	321216	0	641128	6593	0	88	0	930	5	0	0	0	0	1	1
1772190362	18	318279	321216	0	641128	6593	0	88	0	930	5	0	0	0	0	1	1
1772190364	20	318279	321216	0	641128	6593	0	88	0	930	5	0	0	0	0	1	1
1772190366	22	318284	321216	0	641128	6593	0	88	0	930	5	0	0	0	0	1	1
1772190368	24	318284	321216	0	641128	6593	0	88	0	930	5	0	0	0	0	1	1
1772190370	26	318284	321216	0	641128	6593	0	88	0	930	5	0	0	0	0	1	1
1772190372	28	318284	321216	0	641128	6593	0	88	0	930	5	0	0	0	0	1	1
1772190374	30	318284	321216	0	641128	6593	0	88	0	930	5	0	0	0	0	1	1
1772190376	32	318284	321216	0	641128	6593	0	88	0	930	5	0	0	0	0	1	1
1772190378	34	318284	321216	0	641128	6593	0	88	0	930	5	0	0	0	0	1	1
1772190380	36	318284	321216	0	641128	6593	0	88	0	930	5	0	0	0	0	1	1
1772190382	38	318284	321216	0	641128	6593	0	88	0	930	5	0	0	0	0	1	1
1772190384	40	318284	321216	0	641128	6593	0	88	0	930	5	0	0	0	0	1	1
1772190386	42	318284	321216	0	641128	6593	0	88	0	930	5	0	0	0	0	1	1
1772190388	44	318284	321216	0	641128	6593	0	88	0	930	5	0	0	0	0	1	1
1772190390	46	318284	321216	0	641128	6593	0	88	0	930	5	0	0	0	0	1	1
1772190392	48	318284	321216	0	641128	6593	0	88	0	930	5	0	0	0	0	1	1
1772190394	50	318284	321216	0	641128	6593	0	88	0	930	5	0	0	0	0	1	1
1772190396	52	318284	321216	0	641128	6593	0	88	0	930	5	0	0	0	0	1	1
1772190398	54	318284	321216	0	641128	6593	0	88	0	930	5	0	0	0	0	1	1
1772190400	56	318284	321216	0	641128	6593	0	88	0	930	5	0	0	0	0	1	1
1772190402	58	318284	321216	0	641128	6593	0	88	0	930	5	0	0	0	0	1	1
1772190404	60	318284	321216	0	641128	6593	0	88	0	930	5	0	0	0	0	1	1
1772190406	62	318284	321216	0	641128	6593	0	88	0	930	5	0	0	0	0	1	1
1772190408	64	318284	321216	0	641128	6593	0	88	0	930	5	0	0	0	0	1	1
1772190410	66	318284	321216	0	641128	6593	0	88	0	930	5	0	0	0	0	1	1
1772190412	68	318284	321216	0	641128	6593	0	88	0	930	5	0	0	0	0	1	1
1772190414	70	318284	321216	0	641128	6593	0	88	0	1124	7	0	0	0	0	1	1
1772190416	72	318284	321216	0	641128	6593	0	88	0	1291	8	0	0	0	0	1	1
1772190418	74	318284	321216	0	641128	6593	0	88	0	1291	8	0	0	0	0	1	1
1772190420	76	318284	321216	0	641128	6593	0	88	0	1291	8	0	0	0	0	1	1
1772190422	78	318279	321216	0	641128	6593	0	88	0	1291	8	0	0	0	0	1	1
1772190424	80	318279	321216	0	641128	6593	0	88	0	1291	8	0	0	0	0	1	1
1772190426	82	318284	321216	0	641128	6593	0	88	0	1291	8	0	0	0	0	1	1
1772190428	84	318284	321216	0	641128	6593	0	88	0	1291	8	0	0	0	0	1	1
1772190430	86	318284	321216	0	641128	6593	0	88	0	1291	8	0	0	0	0	1	1
1772190432	88	318284	321216	0	641128	6593	0	88	0	1291	8	0	0	0	0	1	1
1772190434	90	318284	321216	0	641128	6593	0	88	0	1291	8	0	0	0	0	1	1
1772190436	92	318284	321216	0	641128	6593	0	88	0	1291	8	0	0	0	0	1	1
1772190438	94	318284	321216	0	641128	6593	0	88	0	1291	8	0	0	0	0	1	1
1772190440	96	318284	321216	0	641128	6593	0	88	0	1291	8	0	0	0	0	1	1
1772190442	98	318284	321216	0	641128	6593	0	88	0	1291	8	0	0	0	0	1	1
1772190444	100	318284	321216	0	641128	6593	0	88	0	1291	8	0	0	0	0	1	1
1772190446	102	318284	321216	0	641128	6593	0	88	0	1291	8	0	0	0	0	1	1
1772190448	104	318284	321216	0	641128	6593	0	88	0	1291	8	0	0	0	0	1	1
1772190450	106	318284	321216	0	641128	6593	0	88	0	1291	8	0	0	0	0	1	1
1772190452	108	318284	321216	0	641128	6593	0	88	0	1291	8	0	0	0	0	1	1
1772190454	110	318284	321216	0	641128	6593	0	88	0	1291	8	0	0	0	0	1	1
1772190456	112	318284	321216	0	641128	6593	0	88	0	1291	8	0	0	0	0	1	1
1772190458	114	318284	321216	0	641128	6593	0	88	0	1291	8	0	0	0	0	1	1
1772190460	116	318284	321216	0	641128	6593	0	88	0	1291	8	0	0	0	0	1	1
1772190462	118	318284	321216	0	641128	6593	0	88	0	1291	8	0	0	0	0	1	1
1772190464	120	318284	321216	0	641128	6593	0	88	0	1291	8	0	0	0	0	1	1
1772190466	122	318284	321216	0	641128	6593	0	88	0	1291	8	0	0	0	0	1	1
1772190468	124	318284	321216	0	641128	6593	0	88	0	1291	8	0	0	0	0	1	1
1772190470	126	318279	321216	0	641128	6593	0	88	0	1291	8	0	0	0	0	1	1
1772190472	128	318279	321216	0	641128	6593	0	88	0	1291	8	0	0	0	0	1	1
1772190474	130	318284	321216	0	641128	6593	0	88	0	1291	8	0	0	0	0	1	1
1772190476	132	318284	321216	0	641128	6593	0	88	0	1502	9	0	0	0	0	1	1
1772190478	134	318284	321216	0	641128	6593	0	88	0	1924	11	0	0	0	0	1	1
1772190480	136	318284	321216	0	641128	6593	0	88	0	2135	12	0	0	0	0	1	1
1772190482	138	318279	321216	0	641128	6593	0	88	0	2135	12	0	0	0	0	1	1
1772190484	140	318279	321216	0	641128	6593	0	88	0	2135	12	0	0	0	0	1	1
1772190486	142	318284	321216	0	641128	6593	0	88	0	2135	12	0	0	0	0	1	1
1772190488	144	318284	321216	0	641128	6593	0	88	0	2135	12	0	0	0	0	1	1
1772190490	146	318284	321216	0	641128	6593	0	88	0	2221	13	0	0	0	0	1	1
1772190492	148	318284	321216	0	641128	6593	0	88	0	2221	13	0	0	0	0	1	1
1772190494	150	318284	321216	0	641128	6593	0	88	0	2221	13	0	0	0	0	1	1
