Time,wtime,pss,rss,swap,vmem,rchar,read_bytes,wchar,write_bytes,rx_bytes,rx_packets,tx_bytes,tx_packets,stime,utime,nprocs,nthreads,t,is_anomaly
1772190170,0,27219,30016,0,494644,6593,0,88,0,0,0,0,0,0,0,1,1,0,0
1772190172,2,245042,247960,0,494644,6593,0,88,0,361,3,0,0,0,0,1,1,1,0
1772190174,4,245042,247960,0,494644,6593,0,88,0,722,6,0,0,0,0,1,1,2,0
1772190176,6,245042,247960,0,494644,6593,0,88,0,889,7,0,0,0,0,1,1,3,0
1772190178,8,245042,247960,0,494644,6593,0,88,0,889,7,0,0,0,0,1,1,4,0
1772190180,10,245042,247960,0,494644,6593,0,88,0,889,7,0,0,0,0,1,1,5,0
1772190182,12,245037,247960,0,494644,6593,0,88,0,889,7,0,0,0,0,1,1,6,0
1772190184,14,245037,247960,0,494644,6593,0,88,0,889,7,0,0,0,0,1,1,7,0
1772190186,16,245042,247960,0,494644,6593,0,88,0,889,7,0,0,0,0,1,1,8,0
1772190188,18,245042,247960,0,494644,6593,0,88,0,889,7,0,0,0,0,1,1,9,0
1772190190,20,245042,247960,0,494644,6593,0,88,0,889,7,0,0,0,0,1,1,10,0
1772190192,22,245042,247960,0,494644,6593,0,88,0,889,7,0,0,0,0,1,1,11,0
1772190194,24,245042,247960,0,494644,6593,0,88,0,889,7,0,0,0,0,1,1,12,0
1772190196,26,245042,247960,0,494644,6593,0,88,0,889,7,0,0,0,0,1,1,13,0
1772190198,28,245042,247960,0,494644,6593,0,88,0,889,7,0,0,0,0,1,1,14,0
1772190200,30,245042,247960,0,494644,6593,0,88,0,889,7,0,0,0,0,1,1,15,0
1772190202,32,245042,247960,0,494644,6593,0,88,0,889,7,0,0,0,0,1,1,16,0
1772190204,34,245042,247960,0,494644,6593,0,88,0,889,7,0,0,0,0,1,1,17,0
1772190206,36,245042,247960,0,494644,6593,0,88,0,889,7,0,0,0,0,1,1,18,0
1772190208,38,245042,247960,0,494644,6593,0,88,0,889,7,0,0,0,0,1,1,19,0
1772190210,40,245042,247960,0,494644,6593,0,88,0,889,7,0,0,0,0,1,1,20,0
1772190212,42,245037,247960,0,494644,6593,0,88,0,1101,9,0,0,0,0,1,1,21,0
1772190214,44,245037,247960,0,494644,6593,0,88,0,1101,9,0,0,0,0,1,1,22,0
1772190216,46,245042,247960,0,494644,6593,0,88,0,1101,9,0,0,0,0,1,1,23,0
1772190218,48,245042,247960,0,494644,6593,0,88,0,1101,9,0,0,0,0,1,1,24,0
1772190220,50,245042,247960,0,494644,6593,0,88,0,1101,9,0,0,0,0,1,1,25,0
1772190222,52,245042,247960,0,494644,6593,0,88,0,1101,9,0,0,0,0,1,1,26,0
1772190224,54,245042,247960,0,494644,6593,0,88,0,1101,9,0,0,0,0,1,1,27,0
1772190226,56,245042,247960,0,494644,6593,0,88,0,1101,9,0,0,0,0,1,1,28,0
1772190228,58,245042,247960,0,494644,6593,0,88,0,1101,9,0,0,0,0,1,1,29,0
1772190230,60,245042,247960,0,494644,6593,0,88,0,1101,9,0,0,0,0,1,1,30,0
